Race Date,Race Discipline,Race Category,Race Gender,Race Class,Age,Rider Place,Rider License #,First name,Last name,Time,Team
11/01/2008,Cross Country,SP,Men,Senior,19-29,1,0,ANT,CCHESKI,0:51:00,
11/01/2008,Cross Country,SP,Men,Senior,19-29,2,0,RYAN,GENDHAR,0:51:48,
11/01/2008,Cross Country,SP,Men,Senior,19-29,3,0,JAMIE,MYERS,0:57:30,
11/01/2008,Cross Country,SP,Men,Senior,19-29,4,0,LEE,HERCHENRODER,1:07:46,
11/01/2008,Cross Country,SP,Men,Senior,19-29,5,0,TOM,CERCHIARA,1:08:09,BEACON CYCLES
11/01/2008,Cross Country,SP,Men,Senior,19-29,6,0,JOE,CERVADINI,1:24:54,
11/01/2008,Cross Country,SP,Men,Master,30-39,1,0,ALEXANDREA,ROSKIN,0:55:26,
11/01/2008,Cross Country,SP,Men,Master,30-39,2,0,MANNY,PERILLO,0:57:17,
11/01/2008,Cross Country,SP,Men,Master,30-39,3,0,JIM,GALLAGHER,1:00:12,
11/01/2008,Cross Country,SP,Men,Master,30-39,4,0,PETER,ENGLEBRACHT,1:01:22,
11/01/2008,Cross Country,SP,Men,Master,30-39,5,0,CHRIS,WEBB,1:01:38,
11/01/2008,Cross Country,SP,Men,Master,30-39,6,0,EDDIE,HILL,1:02:20,
11/01/2008,Cross Country,SP,Men,Master,30-39,7,0,ROB,DUNN,1:08:36,
11/01/2008,Cross Country,SP,Men,Master,40-49,1,110123,Walter,Reynolds,0:52:45,
11/01/2008,Cross Country,SP,Men,Master,40-49,2,139784,Robert,Swart,1:00:20,
11/01/2008,Cross Country,SP,Men,Master,40-49,3,0,STEVE,WIRZ,1:01:12,PAWLING CYCLE & SPORT
11/01/2008,Cross Country,SP,Men,Master,40-49,4,0,KEVIN,SEMONSEN,1:03:02,
11/01/2008,Cross Country,SP,Men,Master,40-49,5,0,TOM,KEETH,1:03:15,
11/01/2008,Cross Country,SP,Men,Master,40-49,6,0,STEVE,ARKET,1:03:26,PAWLING CYCLE & SPORT
11/01/2008,Cross Country,SP,Men,Master,40-49,7,224520,Alex,Salazar,1:03:28,
11/01/2008,Cross Country,SP,Men,Master,40-49,8,0,FRANK,HILDENBRAND,1:06:25,
11/01/2008,Cross Country,SP,Men,Master,40-49,9,0,DONALD,KINNE,1:09:56,
11/01/2008,Cross Country,SP,Men,Master,40-49,10,0,EVAN,SMITH,1:10:00,
11/01/2008,Cross Country,SP,Men,Master,40-49,11,0,ERIK,BALKIN,1:12:21,
11/01/2008,Cross Country,SP,Men,Master,40-49,12,0,MIKE,HENRY,1:14:09,
11/01/2008,Cross Country,SP,Men,Master,40-49,13,0,BILL,ORR,1:16:14,
11/01/2008,Cross Country,SP,Men,Master,40-49,14,0,ROBERT,CARPENTER,1:27:24,
11/01/2008,Cross Country,SP,Men,Master,40-49,15,0,RAYMOND,McCARTHY,1:33:50,
11/01/2008,Cross Country,SP,Men,Master,50-99,1,183572,James,Gambino,1:17:32,HUDSON VALLEY VELLO
11/01/2008,Cross Country,SP,Men,Master,50-99,2,0,DAVE,STERES,1:29:50,
11/01/2008,Cross Country,SM,Men,Open,OPEN,1,124782,Luis,Francisco,0:45:52,PAWLING CYCLE AND SPORT
11/01/2008,Cross Country,SM,Men,Open,OPEN,2,218359,Maurice,Gamanho,0:50:28,MTBNJ.COM
11/01/2008,Cross Country,SM,Men,Open,OPEN,3,190039,Thierry,Blanchet,0:51:48,SOBE/CANNONDALE
11/01/2008,Cross Country,SM,Men,Open,OPEN,4,148571,Robert,Kelley,0:52:05,PAWLING CYCLE & SPORT
11/01/2008,Cross Country,Singlespeed,Men,Sport,1-99,1,0,SCOTT,WARREN,0:57:13,
11/01/2008,Cross Country,Singlespeed,Men,Sport,1-99,2,0,RICK,PEETS,0:59:31,
11/01/2008,Cross Country,Singlespeed,Men,Expert,OPEN,1,133393,Brian,Kelley,0:49:25,PAWLING CYCLE AND SPORT
11/01/2008,Cross Country,EX,Men,Junior,12-18,1,230384,Lukas,Grob,0:58:28,PAWLING CYCLE & SPORT
11/01/2008,Cross Country,EX,Men,Senior,19-29,1,0,VITAR,FRANCISCO,0:51:51,
11/01/2008,Cross Country,EX,Men,Senior,19-29,2,0,RIVERS,NASKA,0:55:25,BIKEWAY
11/01/2008,Cross Country,EX,Men,Senior,19-29,3,252075,Ryan,Heerschap,0:55:51,
11/01/2008,Cross Country,EX,Men,Master,30-39,1,0,MARK,ROMANOWSKY,0:52:52,
11/01/2008,Cross Country,EX,Men,Master,30-39,2,0,DAN,LANINO,0:53:03,
11/01/2008,Cross Country,EX,Men,Master,30-39,3,223607,James,Brockway,0:56:14,PAWLING CYCLE & SPORT
11/01/2008,Cross Country,EX,Men,Master,30-39,4,0,BRYNA,NESTOR,0:57:36,
11/01/2008,Cross Country,EX,Men,Master,30-39,5,0,CHRISTIAN,BAKS,0:59:08,PAWLING CYCLE & SPORT
11/01/2008,Cross Country,EX,Men,Master,40-49,1,37650,Ken,Welch,0:51:53,WHEEL & HEEL
11/01/2008,Cross Country,EX,Men,Master,40-49,2,226401,Wayne,Tice,0:53:20,BRYAN'S BIKES
11/01/2008,Cross Country,EX,Men,Master,40-49,3,230224,Paul,Wojciak,0:55:04,PAWLING CYCLE AND SPORT
11/01/2008,Cross Country,EX,Men,Master,40-49,4,199172,Roger,Billharz,0:57:31,HUDSON VALLY VELO
11/01/2008,Cross Country,EX,Men,Master,40-49,5,0,BRYAN,MARTIN,1:01:38,
11/01/2008,Cross Country,EX,Men,Master,50-99,1,96768,Mark,Sullivan,0:56:15,VILLAGE BIKES
11/01/2008,Cross Country,BG,Men,Senior,19-29,1,0,SEAN,DICKEY,1:35:09,
11/01/2008,Cross Country,BG,Men,Master,30-39,1,0,PETE,COLE,1:13:12,
11/01/2008,Cross Country,BG,Men,Master,30-39,2,0,ANTHONY,MIGLIAZZO,1:25:00,
11/01/2008,Cross Country,BG,Men,Master,40-49,1,0,PETER,MILLER,1:05:06,
11/01/2008,Cross Country,BG,Men,Master,40-49,2,0,TIM,O'CONNEL,1:07:56,
11/01/2008,Cross Country,BG,Men,Master,40-49,3,0,TOM,SMITH,1:13:17,
11/01/2008,Cross Country,BG,Men,Master,40-49,4,0,ERIC,UNDERHILL,1:18:15,
11/01/2008,Cross Country,BG,Men,Master,40-49,5,0,MICOVANS,WIRTH,1:23:20,
11/01/2008,Cross Country,BG,Men,Master,40-49,6,0,BRIAN,SULLIVAN,1:32:33,
11/01/2008,Cross Country,BG,Men,Master,40-49,7,0,LAURENT,SAUVANET,1:40:24,
11/01/2008,Cross Country,BG,Men,Master,50-99,1,0,TOM,GROPP,1:13:16,
11/01/2008,Cross Country,BG,Men,Master,50-99,2,0,GEORGE,NASKA,1:19:58,
11/01/2008,Cross Country,BG,Men,Master,50-99,3,0,FRANK,EIREMDE,1:30:07,
11/01/2008,Cross Country,SP,Women,Senior,12-34,1,0,REBECCA,PHILLIPO,1:09:23,
11/01/2008,Cross Country,SP,Women,Senior,12-34,2,0,AUDREY,ROMANOWSKY,1:14:15,
11/01/2008,Cross Country,SP,Women,Senior,12-34,3,0,KENDRA,WHEELER,1:14:24,
11/01/2008,Cross Country,SP,Women,Senior,12-34,4,0,JILL,SPRANCE,1:17:32,
11/01/2008,Cross Country,SP,Women,Senior,12-34,5,0,JENNIFER,ABASE,1:31:50,
11/01/2008,Cross Country,SP,Women,Senior,12-34,6,0,SAMANTHA,LANGTEN,1:34:22,
11/01/2008,Cross Country,SP,Women,Senior,12-34,7,0,LAURENT,McCARTHY,1:34:38,
11/01/2008,Cross Country,SP,Women,Master,35-39,1,278614,Heidi,Baks,1:10:55,PAWLING CYCLE & SPORT
11/01/2008,Cross Country,SP,Women,Master,35-39,DNF,0,ERIN,SINE,DNF,
11/01/2008,Cross Country,BG,Women,Senior,12-34,1,0,REBECCA,GARDNER,1:29:37,
11/01/2008,Cross Country,BG,Women,Master,35-39,1,0,ALEXANDREA,CORTALE,1:31:26,
11/01/2008,Cross Country,BG,Women,Master,35-39,DNF,0,SUE,WILLIAMS,DNF,
