license#,,gender,racing age,Road Cat
16935,,M,50,2
17062,,M,69,5
17154,,M,50,1
17359,,M,69,3
17460,,M,54,3
17590,,M,36,1
17778,,F,58,3
17952,,M,52,1
17995,,M,48,3
18004,,M,42,3
18670,,M,54,4
18754,,M,64,3
18867,,M,50,3
19274,,M,73,3
19309,,M,44,4
19682,,M,47,3
19782,,M,51,5
19805,,M,54,5
20004,,M,51,2
20017,,F,52,1
20105,,M,44,2
20284,,M,50,3
20326,,M,61,2
20327,,M,52,2
20332,,M,41,3
20368,,F,60,3
20467,,M,62,5
20630,,M,52,3
20634,,M,46,3
20758,,M,52,5
20897,,M,51,4
21257,,M,62,3
21485,,M,45,4
21612,,M,62,2
21629,,M,59,4
21760,,M,40,1
21830,,M,58,4
21861,,M,46,2
21896,,M,54,2
21932,,M,45,3
21959,,M,46,4
22166,,M,53,3
22517,,M,58,3
22565,,M,56,1
22722,,M,57,4
22744,,M,46,2
22761,,M,52,4
23184,,M,38,5
23350,,M,51,3
23487,,M,41,1
23548,,M,44,4
23560,,M,47,5
23691,,M,50,4
23775,,M,45,2
23832,,M,42,3
23838,,M,64,4
23850,,M,46,4
23961,,M,54,2
24015,,M,44,4
24098,,M,48,3
24268,,M,57,4
24477,,M,51,3
24723,,M,51,3
24781,,M,58,2
24891,,F,55,4
25151,,M,56,3
25592,,M,49,2
25593,,M,47,4
25636,,M,48,2
25655,,M,52,1
25743,,M,56,1
26028,,M,49,4
26205,,M,56,1
26239,,M,42,3
26782,,M,44,4
26822,,M,49,4
26838,,M,47,4
26875,,M,50,4
26888,,M,44,1
26920,,M,45,1
26982,,M,56,3
27283,,M,45,3
27378,,M,51,2
27450,,M,47,4
27452,,M,52,3
27493,,M,46,3
27564,,M,47,5
27937,,M,68,3
28134,,M,38,3
28533,,M,50,1
29404,,M,51,3
29458,,M,54,3
29606,,M,48,4
30039,,M,48,5
30073,,M,52,2
30110,,M,45,2
30184,,M,56,5
30191,,M,39,2
30269,,M,66,2
30439,,M,48,3
30514,,M,44,2
30719,,M,45,4
30899,,M,57,5
31332,,M,45,1
31617,,M,45,2
31921,,M,35,5
32519,,M,50,4
32554,,M,52,1
33024,,F,48,2
33087,,M,52,2
33092,,M,52,2
33491,,M,44,2
33746,,M,48,4
34228,,M,48,1
34341,,M,39,5
34392,,M,51,3
34714,,M,54,3
34787,,M,40,2
34910,,M,55,2
34993,,M,42,5
35042,,M,46,3
35241,,M,55,2
35297,,M,46,1
35445,,M,45,5
35561,,M,47,3
35606,,M,54,4
35623,,M,51,3
35925,,M,50,4
35982,,M,44,4
36009,,M,53,1
36095,,M,49,3
36247,,M,53,5
36393,,M,51,3
36629,,M,68,5
36660,,M,42,4
36682,,M,47,3
36721,,M,51,4
36779,,M,56,4
36997,,M,41,5
37037,,M,41,3
37272,,M,52,3
37286,,M,53,5
37417,,M,40,4
37453,,M,52,5
37636,,M,45,1
37831,,M,53,4
38109,,M,54,3
38165,,M,45,1
38323,,M,51,1
38396,,M,52,4
38466,,M,60,2
38747,,M,49,3
38840,,M,48,3
38980,,M,51,1
39191,,M,49,4
39296,,F,48,1
39334,,M,63,4
39478,,M,54,2
40039,,M,60,1
40227,,M,53,4
40408,,M,39,2
40450,,M,43,2
40497,,M,43,2
40499,,M,45,1
40519,,M,42,1
40616,,M,46,3
40657,,M,51,2
40678,,M,46,3
40708,,F,57,2
40855,,M,49,4
41019,,M,48,4
41192,,M,43,2
41320,,M,42,4
41335,,M,42,3
41600,,M,50,2
41718,,M,42,3
41826,,M,42,3
41848,,M,44,2
41981,,M,49,5
42254,,F,51,4
42306,,M,43,3
42391,,M,50,5
42770,,M,42,2
43029,,M,42,2
43151,,M,40,3
43445,,M,40,2
43936,,M,51,3
44186,,M,40,3
45010,,M,57,3
45018,,M,62,2
45020,,M,61,3
45071,,M,68,2
45097,,M,78,2
45136,,M,68,3
45217,,M,74,2
45254,,F,57,2
45293,,M,71,2
45299,,F,58,2
45315,,M,73,3
45367,,M,60,3
45398,,M,80,4
45506,,M,58,3
45626,,M,73,3
45629,,M,52,2
45699,,M,69,3
45712,,M,71,2
45789,,M,63,3
45837,,M,64,2
45922,,M,58,2
46023,,M,55,2
46033,,M,75,2
46040,,M,53,2
46089,,M,57,3
46099,,M,50,2
46151,,M,56,3
46157,,M,52,1
46241,,M,49,2
46408,,M,62,4
46480,,M,61,2
46493,,M,69,2
46799,,M,65,2
46815,,M,46,1
46922,,F,63,3
46954,,M,50,4
46996,,M,56,2
47024,,M,52,2
47073,,M,53,3
47085,,M,52,3
47091,,M,47,1
47096,,M,51,2
47169,,M,49,2
47303,,M,51,2
47386,,M,54,2
47388,,M,47,1
47423,,F,64,3
47424,,M,45,1
47463,,M,50,2
47494,,M,49,4
47505,,M,54,2
47519,,M,53,1
47556,,M,52,3
47564,,M,45,3
47813,,M,54,4
47828,,M,54,3
47947,,M,46,3
48100,,M,46,2
48177,,M,47,3
48193,,M,53,4
48284,,M,54,2
48288,,M,49,2
48389,,M,58,3
48416,,M,59,2
48419,,M,54,2
48431,,F,48,2
48481,,F,71,4
48492,,M,64,3
48510,,M,60,3
48649,,M,51,2
48861,,M,45,4
48984,,M,46,2
49243,,F,50,1
49341,,M,52,4
49344,,M,45,2
49355,,M,46,3
49467,,M,44,2
49753,,M,60,4
49804,,M,49,2
49949,,M,68,3
49950,,M,48,3
50011,,M,45,3
50248,,M,54,3
50393,,M,58,3
50565,,M,50,2
50576,,M,44,2
50578,,M,61,3
50620,,M,46,2
50640,,M,39,1
50662,,M,37,3
50815,,M,58,3
50886,,M,50,2
51073,,M,41,4
51092,,M,45,3
51105,,M,67,4
51130,,M,55,4
51158,,M,63,3
51166,,M,43,3
51197,,M,58,4
51271,,M,60,4
51289,,M,42,3
51411,,M,44,2
51430,,M,43,3
51447,,M,54,2
51551,,M,65,3
51558,,M,59,3
51637,,M,57,2
51644,,M,49,3
51731,,M,60,3
51773,,M,43,1
51872,,M,59,3
51892,,M,62,2
52268,,M,58,2
52437,,M,59,3
52696,,M,48,2
52800,,M,64,2
52805,,M,40,2
52809,,M,63,3
52843,,M,42,1
52849,,M,44,2
53043,,M,59,3
53081,,M,73,4
53115,,M,46,2
53375,,M,41,3
53377,,M,52,2
53501,,M,45,2
53651,,M,50,3
53661,,M,56,2
53736,,M,42,4
53787,,M,45,3
53811,,M,49,4
53815,,M,51,3
53873,,M,56,4
53946,,M,46,1
54032,,M,58,3
54476,,M,52,3
54548,,M,52,3
54565,,M,42,2
54591,,M,44,1
54640,,M,61,4
54686,,M,42,1
54692,,M,60,2
54789,,M,38,2
54852,,M,62,4
54895,,M,43,2
55025,,M,51,3
55050,,M,44,2
55123,,M,50,2
55200,,M,54,4
55217,,M,47,3
55240,,F,55,2
55276,,M,42,3
55300,,M,48,4
55374,,M,63,3
55496,,M,47,3
55625,,M,48,2
55661,,M,49,3
56017,,M,58,3
56304,,M,49,4
56320,,M,45,2
56721,,M,50,3
57185,,M,47,3
57191,,M,52,4
57241,,M,43,3
57261,,M,40,1
57307,,M,49,3
57315,,M,43,2
57382,,M,55,4
57394,,M,47,3
57684,,M,55,4
57779,,M,50,4
57836,,M,52,2
57955,,M,58,4
58116,,M,52,3
58379,,M,57,3
58416,,M,50,3
58446,,M,52,3
58642,,M,46,2
58744,,M,40,4
58809,,M,37,4
58924,,M,39,2
59046,,M,54,3
59049,,M,51,4
59052,,M,58,4
59104,,M,42,3
59509,,M,46,3
59561,,M,47,2
59738,,M,55,3
60079,,M,57,3
60086,,M,55,4
60207,,M,49,3
60307,,M,53,3
60393,,M,48,4
60439,,M,36,1
60454,,F,55,1
60479,,M,36,3
60511,,M,47,1
60528,,M,56,3
60730,,M,46,2
60756,,M,59,3
60767,,M,72,4
61090,,F,54,1
61117,,M,38,1
61122,,M,63,4
61378,,M,62,3
61440,,M,45,1
61649,,M,40,2
61758,,M,45,4
62319,,M,46,4
62322,,M,48,2
62349,,M,43,2
62772,,M,45,4
62820,,M,48,4
62873,,M,48,4
62921,,M,47,4
62925,,F,39,2
63026,,M,38,3
63152,,M,35,4
63239,,M,42,4
63449,,M,75,4
63450,,M,46,2
63475,,M,43,2
63591,,M,42,4
63782,,M,51,4
63911,,M,46,3
64351,,M,50,3
64481,,M,42,1
64734,,M,45,2
65032,,M,57,2
65229,,M,51,4
65291,,M,54,4
65413,,M,58,4
65663,,M,61,4
