license#,,gender,racing age,Road Cat
217307,,M,30,4
217427,,M,33,4
217858,,M,41,1
217916,,F,41,2
218287,,M,28,2
218381,,M,33,2
218417,,M,48,3
218489,,M,32,5
218607,,F,49,1
218676,,M,37,3
218715,,M,47,4
218755,,M,56,4
218823,,M,48,2
218917,,M,58,4
219025,,M,44,3
219164,,F,55,3
219166,,M,33,4
219237,,M,45,3
219316,,M,36,3
219472,,M,54,4
219489,,M,52,4
219511,,F,54,4
219527,,M,64,3
219555,,F,37,1
219558,,M,44,2
219570,,M,43,3
219604,,M,46,3
219605,,M,51,3
219614,,M,50,3
219680,,M,47,3
219719,,F,56,2
219737,,M,46,5
219800,,M,48,4
220076,,M,58,5
220085,,M,43,3
220099,,M,25,5
220196,,M,32,1
220240,,M,43,4
220373,,M,54,4
220399,,M,43,3
220548,,M,55,2
220645,,M,44,3
220801,,M,38,5
220835,,M,67,5
220857,,M,27,2
220868,,M,27,2
220894,,M,32,4
220929,,M,48,3
221127,,F,50,3
221202,,M,29,4
221286,,M,53,5
221303,,M,55,3
221354,,M,29,4
221376,,M,21,1
221444,,M,58,3
221460,,M,53,3
221526,,M,25,5
221812,,M,56,4
221916,,M,47,5
222114,,M,42,5
222144,,M,46,5
222205,,M,55,5
222320,,M,22,2
222322,,M,20,2
222519,,F,36,3
222927,,M,30,3
223061,,M,46,4
223230,,M,29,3
223237,,M,38,3
223248,,M,35,3
223464,,M,26,2
223566,,M,33,4
223944,,M,41,2
224014,,M,25,5
224018,,M,25,2
224241,,M,47,3
224243,,M,25,5
224245,,F,60,4
224266,,M,23,4
224272,,F,57,1
224273,,F,56,4
224302,,M,27,2
224571,,M,52,5
224627,,M,24,2
224717,,M,28,3
224936,,M,56,4
225187,,F,44,3
225191,,M,54,4
225219,,M,32,2
225246,,M,38,3
225651,,M,39,3
226091,,M,43,2
226231,,M,47,4
226388,,M,43,5
226525,,M,48,2
226535,,M,49,5
226577,,M,47,3
226676,,M,59,3
226927,,F,41,3
226929,,M,52,2
226969,,M,24,2
226975,,M,22,5
226976,,M,20,5
226979,,M,47,5
226982,,M,26,5
226997,,M,24,5
227027,,M,49,2
227063,,M,28,4
227425,,M,34,5
227583,,M,46,4
227848,,M,41,5
228010,,F,28,2
228100,,M,54,4
228280,,M,55,3
228483,,M,41,4
228571,,M,39,5
228684,,M,32,1
228693,,F,37,2
228853,,M,34,2
228981,,M,44,5
229180,,M,63,4
229576,,M,53,4
229718,,M,44,2
229836,,M,34,3
229950,,M,20,2
230031,,M,51,3
230258,,M,33,1
230397,,F,20,4
230714,,M,48,4
230786,,F,34,3
230865,,M,18,2
230948,,M,47,5
231240,,M,53,5
231262,,F,45,4
231367,,M,50,1
231563,,M,57,4
231656,,M,36,3
231774,,M,41,3
231913,,M,45,3
231993,,M,46,2
232092,,F,41,3
232172,,F,41,PR
232508,,M,33,3
232661,,M,53,3
232665,,M,45,3
232939,,M,24,5
232969,,F,31,4
233007,,M,37,5
233101,,M,22,4
233122,,M,46,4
233607,,M,19,1
233623,,M,45,1
233803,,M,49,2
233855,,M,43,4
233934,,M,52,4
234067,,M,27,2
234097,,M,45,3
234386,,F,54,4
234430,,M,34,5
234434,,M,23,5
234584,,M,33,1
234863,,M,34,2
235041,,M,51,4
235063,,M,46,3
235126,,M,60,2
235653,,M,48,4
235669,,F,52,4
235760,,M,60,4
235761,,M,27,1
235909,,M,55,4
236024,,M,35,2
236133,,M,44,4
236210,,M,50,3
236316,,M,34,5
236346,,M,49,2
236403,,M,40,3
236460,,M,59,4
236490,,M,41,4
236580,,M,54,2
236637,,M,45,4
236645,,F,46,1
236745,,M,49,5
236809,,M,39,3
236876,,M,27,5
236898,,M,50,5
236974,,M,50,4
237028,,M,41,3
237177,,M,50,4
237199,,M,49,4
237254,,M,46,4
237309,,M,42,3
237364,,M,59,5
237380,,M,53,3
237449,,M,28,2
237583,,F,36,1
237600,,F,46,4
237772,,M,51,4
237781,,M,43,4
237905,,M,42,4
237997,,M,29,2
238250,,M,51,2
238307,,M,50,4
238469,,M,22,4
238691,,M,50,4
238694,,M,32,1
238708,,M,46,3
238713,,F,28,1
239048,,M,28,1
239219,,M,45,5
239419,,F,44,2
239612,,F,27,1
239679,,M,29,4
239684,,M,35,4
239689,,M,30,2
239696,,M,55,5
239812,,M,33,4
239889,,M,43,3
239919,,M,24,1
239990,,M,39,2
240033,,M,24,1
240114,,M,45,4
240115,,M,57,4
240212,,M,38,2
240222,,M,28,1
240458,,M,59,4
240540,,M,32,1
240558,,M,22,1
240763,,M,53,3
240797,,F,44,3
241436,,M,53,4
241521,,F,55,4
241617,,M,46,5
241648,,M,27,2
241949,,M,30,4
242028,,M,52,4
242087,,M,50,4
242117,,M,59,5
242189,,M,49,5
242323,,M,45,4
242441,,M,26,2
242481,,M,41,3
242553,,F,27,2
242557,,F,55,3
242560,,M,33,1
242571,,M,46,3
242575,,F,51,4
242583,,M,53,4
242584,,M,54,5
242818,,M,38,3
242829,,M,31,4
243003,,M,25,1
243005,,M,55,5
243091,,M,22,1
243124,,M,28,4
243216,,M,24,2
243257,,M,35,2
243434,,M,35,2
243622,,M,58,3
244103,,M,40,5
244135,,M,21,5
244305,,M,35,2
244512,,M,45,2
244782,,M,51,3
244913,,M,47,4
245065,,M,46,3
245198,,M,38,1
245266,,M,29,2
245428,,M,23,5
245434,,M,36,5
245436,,M,40,2
245459,,M,63,5
245542,,M,32,1
245892,,M,45,4
246451,,M,56,2
246669,,M,30,1
246729,,M,56,5
246822,,F,44,3
247223,,M,32,4
247284,,M,54,5
247512,,M,33,4
247602,,M,24,3
247724,,M,47,4
247899,,M,20,3
248033,,M,29,1
248052,,M,36,2
248096,,M,46,3
248283,,M,41,5
248404,,M,38,5
248731,,M,61,4
248941,,M,46,4
248976,,M,36,4
249301,,M,60,2
249318,,M,25,2
249424,,M,44,2
249448,,M,25,5
249822,,M,52,3
249851,,M,71,5
250237,,M,22,5
250239,,M,37,5
250315,,M,17,2
250319,,M,44,1
250365,,F,53,3
250399,,M,16,5
250422,,F,44,4
250470,,M,48,5
250472,,M,21,4
250509,,F,52,4
250519,,M,23,5
250525,,M,51,4
250710,,M,42,4
250959,,M,44,4
250983,,M,59,5
251128,,F,33,1
251301,,M,31,2
251332,,M,29,5
251647,,M,73,5
251716,,M,65,4
251736,,M,34,1
252034,,M,45,5
252099,,F,46,4
252152,,F,32,1
252197,,M,26,1
252205,,F,28,4
252241,,M,56,3
252246,,M,54,4
252253,,M,38,5
252576,,M,49,3
252751,,M,41,3
252854,,M,31,4
252869,,M,46,4
252989,,M,42,5
253276,,M,56,4
253581,,M,59,5
253585,,M,47,5
253588,,M,43,4
253814,,M,39,2
253905,,M,42,2
253987,,M,32,2
254004,,M,56,5
254150,,M,17,5
254224,,M,52,5
254245,,M,44,2
254251,,F,49,2
254578,,M,59,4
254588,,M,55,4
254610,,M,60,4
254638,,M,48,3
254697,,M,39,4
254829,,M,18,3
254874,,F,34,1
254961,,M,39,3
255117,,F,42,3
255158,,M,36,3
255271,,M,39,2
255279,,M,50,2
255349,,M,23,3
255414,,M,54,2
255427,,M,38,3
255453,,M,42,2
255479,,M,67,5
255539,,M,47,3
255576,,M,18,3
255580,,M,17,1
255734,,F,49,3
255792,,F,26,4
255975,,M,50,3
256150,,M,40,5
256153,,M,55,2
256160,,M,27,4
256199,,M,40,3
256426,,M,22,4
256539,,M,28,1
256545,,M,45,4
256601,,F,22,2
256808,,M,37,2
256878,,F,30,3
257112,,M,41,4
257119,,M,28,3
257141,,M,43,3
257276,,M,41,1
257410,,M,28,3
257474,,M,72,5
257583,,M,48,4
257717,,F,43,2
257770,,M,24,1
257793,,M,39,4
257805,,M,46,4
257819,,M,52,4
257941,,M,48,3
258083,,F,22,3
258231,,M,43,3
258258,,M,48,4
258299,,M,22,2
258309,,M,30,1
258315,,M,37,5
258446,,F,53,2
258501,,F,43,1
258704,,M,23,2
258824,,M,23,3
258865,,M,48,4
259005,,M,34,3
259078,,F,64,4
259315,,M,44,4
259427,,M,30,2
259428,,F,53,3
259467,,M,29,5
259743,,M,54,5
259783,,M,47,3
259824,,M,36,3
259912,,M,52,4
260006,,M,45,3
260198,,M,30,1
260224,,M,37,3
260263,,M,46,3
260329,,M,48,2
260563,,M,51,5
260611,,M,55,3
260831,,M,45,4
260928,,M,38,3
261345,,M,30,5
261718,,M,48,3
261743,,M,59,5
261818,,M,42,3
261836,,M,55,5
261903,,M,41,5
261907,,M,40,5
261918,,M,36,4
262113,,F,37,2
262232,,M,59,5
262357,,M,48,2
262371,,F,26,3
262379,,M,33,4
262438,,M,53,5
262539,,M,41,2
262564,,M,48,5
263055,,M,21,1
263075,,M,48,4
263079,,F,52,4
263241,,M,36,4
263253,,M,47,3
263396,,M,40,3
263853,,M,34,5
263855,,M,21,5
263998,,M,19,1
264141,,M,31,3
264154,,M,50,4
264228,,M,40,2
264429,,M,36,2
264433,,F,42,4
264499,,M,40,3
264605,,M,42,3
264627,,M,33,4
264642,,M,46,4
264773,,M,25,5
264782,,M,49,4
265260,,F,53,3
265515,,M,39,2
265517,,M,41,5
265823,,M,18,5
265827,,M,15,5
265877,,M,44,2
265991,,M,50,4
266310,,M,36,3
266333,,F,40,3
266414,,M,45,4
266467,,M,29,1
266504,,M,50,4
266583,,M,31,3
266614,,M,62,3
266706,,M,33,3
266806,,F,29,1
266930,,M,19,4
266975,,M,24,5
267000,,M,32,4
267021,,M,64,5
267171,,M,45,1
267224,,M,56,4
267230,,F,35,4
267310,,M,48,3
267361,,M,29,1
267651,,M,46,3
267843,,M,49,4
267996,,F,54,4
268236,,M,39,4
268262,,F,44,4
268263,,F,46,3
268482,,M,40,2
268577,,M,44,2
268598,,M,70,5
268757,,M,26,4
269119,,M,39,4
269166,,M,53,4
269340,,M,53,3
269404,,F,30,4
269456,,M,32,3
269476,,M,27,1
269569,,F,36,1
269627,,F,28,4
269685,,M,26,5
269793,,M,17,3
269913,,M,66,5
270067,,M,53,3
270304,,M,37,2
270327,,M,28,5
270329,,M,43,3
270475,,M,53,3
270677,,M,30,4
270712,,F,26,4
270735,,F,59,4
270781,,M,23,3
270965,,M,22,2
270992,,M,40,3
271049,,M,34,3
271070,,M,19,3
271079,,M,48,4
271086,,M,41,3
271095,,M,45,3
271110,,M,49,4
271126,,M,42,3
271152,,F,48,3
271159,,M,39,4
271260,,M,51,3
271314,,F,30,3
271353,,M,55,5
271361,,F,51,3
271445,,M,35,4
271471,,M,41,4
271476,,M,41,4
271498,,M,29,2
271499,,M,56,3
271503,,M,22,5
271541,,M,35,2
271597,,F,60,4
271598,,M,61,5
271685,,M,21,1
271696,,M,68,3
271750,,F,52,3
271765,,M,50,4
271864,,M,30,2
271897,,M,26,4
271933,,M,36,1
271946,,M,42,4
271991,,M,46,3
272080,,M,40,3
272280,,M,18,4
272283,,M,46,5
272361,,M,38,5
272384,,M,44,5
272499,,M,28,5
272546,,M,46,4
272558,,F,45,3
272559,,M,22,2
272580,,F,55,4
272743,,M,71,4
272800,,M,48,4
272856,,F,29,1
272910,,M,40,5
272930,,M,39,4
273013,,M,43,2
273343,,M,54,3
273441,,F,28,2
273618,,F,52,2
273733,,M,45,4
273849,,M,52,4
273905,,M,32,3
273910,,M,40,2
273912,,M,39,2
274029,,M,44,3
274034,,M,56,4
274098,,F,60,3
274163,,M,20,1
274225,,M,52,3
274232,,M,21,5
274292,,M,50,2
274342,,M,18,3
274418,,M,53,3
274439,,M,49,3
274484,,M,44,4
274522,,M,33,3
274625,,M,37,3
274756,,M,58,4
274990,,M,56,5
275086,,M,29,3
275223,,M,29,1
275350,,M,55,5
275407,,M,51,4
275441,,F,26,1
275571,,M,27,3
275670,,F,30,2
275786,,M,32,4
275788,,M,48,3
275797,,M,39,4
275956,,M,27,2
275960,,M,30,3
276007,,M,58,4
276108,,M,30,1
276118,,M,21,2
276135,,M,23,5
276168,,M,60,4
276222,,M,30,5
276285,,M,36,1
276353,,M,37,4
276605,,M,46,5
276924,,M,45,2
276961,,F,40,1
277016,,M,39,4
277030,,M,54,5
277047,,M,54,4
277109,,F,35,1
277158,,M,56,4
277185,,M,43,5
277189,,M,47,4
277317,,M,27,1
277510,,M,45,3
277526,,F,44,3
277576,,M,66,4
277762,,M,52,3
277938,,M,48,4
278360,,M,31,5
278473,,F,34,2
278768,,M,38,5
279352,,F,30,2
279428,,M,41,5
279813,,M,36,4
279824,,M,18,4
279865,,M,51,5
279973,,M,20,5
280037,,F,45,4
280078,,M,45,3
280083,,M,22,5
280264,,M,53,5
280316,,M,44,4
280347,,M,19,2
280413,,M,40,5
280562,,M,43,3
280612,,F,50,4
280621,,M,16,3
280733,,M,36,4
280827,,M,53,5
280915,,M,58,5
281054,,M,49,2
281123,,M,29,1
281233,,M,34,3
281398,,M,45,5
281420,,M,43,2
281513,,M,30,3
281559,,F,24,3
281671,,M,31,4
281715,,M,40,3
281821,,M,60,3
281883,,M,41,2
281910,,M,30,3
282467,,F,46,3
282468,,F,43,4
282654,,M,18,4
282684,,M,56,3
282712,,M,50,3
283139,,M,29,2
283140,,M,59,4
283185,,M,23,2
283222,,M,34,5
283386,,M,23,2
283422,,M,45,5
283553,,M,54,5
283561,,M,25,5
283664,,M,56,5
283790,,M,58,3
283869,,M,36,1
283986,,M,36,2
284235,,M,31,4
284258,,M,38,4
284329,,M,29,3
284394,,M,47,3
284507,,M,39,4
284516,,M,28,5
284673,,M,54,4
284814,,M,33,3
284883,,M,22,2
284981,,M,22,4
285056,,M,51,3
285169,,F,28,4
285173,,M,25,5
285199,,M,32,3
285245,,M,27,5
285414,,F,45,4
285459,,M,50,4
285465,,M,43,4
285472,,M,40,5
285474,,M,46,5
285617,,M,45,4
285713,,M,17,2
285869,,F,36,4
285940,,F,38,3
285950,,M,44,2
285975,,M,22,3
285988,,M,26,1
285990,,M,54,4
285993,,M,54,4
286191,,F,51,2
286212,,M,20,4
286304,,M,41,5
286381,,M,40,4
286383,,M,67,5
286414,,M,22,3
286421,,M,48,2
286425,,M,51,4
286429,,M,17,4
286432,,M,21,5
286506,,M,43,2
286526,,M,50,4
286527,,M,50,3
286533,,M,38,4
286608,,M,22,1
286633,,F,57,4
286647,,M,58,5
286653,,M,53,3
286671,,M,53,4
286694,,M,25,5
286737,,M,37,4
286765,,M,55,5
286787,,M,42,3
286808,,M,38,5
286823,,M,54,2
286833,,M,48,5
286850,,M,48,4
286872,,M,43,4
286874,,F,35,3
286893,,M,46,3
286935,,M,41,3
286936,,M,57,4
286963,,M,46,4
286972,,M,25,4
286990,,M,31,4
286992,,M,51,3
287039,,M,32,2
287141,,M,46,3
287188,,M,55,5
287192,,M,17,5
287267,,M,30,4
287305,,M,52,3
287387,,M,36,4
287475,,M,57,3
287487,,M,20,1
287507,,M,32,4
287521,,M,36,5
287526,,M,44,3
287530,,M,38,5
287542,,M,45,5
287558,,M,46,3
287569,,M,48,5
287637,,M,47,3
287655,,M,40,3
287658,,M,50,4
287692,,M,45,2
287716,,M,34,5
287728,,M,39,2
287745,,M,41,2
287877,,M,51,4
287890,,F,26,3
287907,,M,34,4
287914,,F,47,3
287934,,M,39,5
288006,,M,46,3
288185,,M,25,3
288297,,M,29,3
288400,,M,60,3
288401,,M,30,3
288526,,M,33,4
288534,,M,60,5
288687,,M,49,3
288732,,M,41,2
288977,,M,25,5
289041,,M,52,3
289092,,M,53,4
289093,,M,46,2
289113,,M,42,3
289117,,M,19,3
289121,,M,31,3
289122,,M,46,4
289147,,M,34,3
289169,,M,34,3
289184,,M,33,3
289282,,M,26,1
289288,,M,26,3
289347,,M,48,4
289378,,F,16,3
289433,,M,17,3
289507,,M,32,4
289711,,F,47,4
289743,,M,41,5
289752,,F,31,1
289924,,M,57,4
290017,,M,45,4
290045,,M,23,5
290128,,M,44,4
290197,,M,25,4
290262,,F,54,4
290357,,M,33,3
290396,,M,48,4
290554,,M,61,5
290626,,M,53,4
290732,,M,53,4
290791,,M,43,4
290814,,M,40,2
290904,,M,50,2
290926,,M,39,3
290961,,M,45,5
291028,,F,19,2
291075,,M,50,5
291216,,M,26,4
291277,,M,26,1
291364,,M,50,4
291414,,M,27,1
291426,,M,44,3
291475,,M,25,4
291487,,M,18,5
291490,,M,24,3
291651,,M,28,5
291752,,F,36,2
291804,,F,46,3
291997,,M,44,4
292026,,M,43,3
292084,,M,36,5
292208,,F,32,2
292380,,M,50,5
292420,,F,28,2
292461,,M,45,3
292488,,M,55,3
292621,,M,39,3
292733,,F,34,2
292885,,M,27,3
292942,,M,57,4
293126,,M,50,3
293136,,M,42,2
293184,,M,43,4
293383,,M,50,4
293436,,M,51,4
293725,,F,39,1
294002,,M,59,4
294020,,M,55,3
294052,,M,35,5
294130,,M,30,5
294211,,M,39,4
294226,,M,20,5
294292,,M,20,5
294311,,M,18,5
294396,,M,39,3
294482,,M,59,5
294725,,M,28,1
294849,,M,34,2
294912,,M,18,1
295013,,M,44,3
295077,,M,17,4
295422,,M,36,2
295435,,M,21,2
295476,,M,17,5
295494,,M,37,5
295509,,M,12,5
295596,,M,30,2
295631,,M,21,2
295633,,M,14,5
295663,,F,29,2
295715,,F,30,4
295719,,M,46,2
295765,,F,41,2
295903,,M,46,3
295988,,M,39,1
296024,,M,52,3
296039,,M,37,4
296167,,M,17,1
296295,,M,20,4
296394,,F,28,4
296426,,M,48,2
296574,,M,32,4
296615,,F,47,4
296622,,M,37,5
296665,,M,47,3
296776,,M,48,5
296786,,M,44,5
296787,,M,15,5
296879,,M,17,2
296935,,M,57,5
297136,,M,20,2
297140,,M,39,3
297164,,M,20,4
297530,,M,20,5
297594,,M,54,2
297747,,M,32,4
297754,,F,39,2
297795,,M,53,3
297814,,M,31,2
297820,,M,29,3
297955,,M,54,3
297956,,M,39,3
298221,,M,56,3
298307,,M,41,4
298332,,M,51,3
298411,,M,30,2
298550,,M,34,1
298571,,M,21,1
298604,,M,21,1
298739,,M,27,2
298802,,M,55,4
298817,,M,21,5
298972,,M,58,3
298981,,F,51,4
298989,,F,64,4
298990,,M,67,5
299412,,M,36,2
299444,,M,46,4
299535,,F,35,2
299720,,M,32,3
299874,,M,42,4
299938,,M,21,3
299962,,M,33,3
299975,,M,37,3
300056,,M,52,3
300157,,M,29,3
300211,,M,49,4
300215,,M,55,5
300501,,M,48,2
300546,,M,39,2
300596,,M,62,4
300622,,M,44,3
300666,,M,68,5
300758,,F,49,4
301158,,M,40,5
301427,,M,51,3
301435,,M,39,5
301454,,M,34,5
301688,,M,27,5
301694,,M,21,4
301764,,F,52,4
301855,,F,36,4
302068,,M,26,5
302141,,M,45,5
302226,,M,24,5
302381,,F,25,2
302419,,M,31,2
302459,,M,32,4
302576,,M,41,4
302616,,M,35,4
302649,,F,36,4
302659,,M,45,5
302804,,M,38,5
302872,,M,31,5
302891,,M,28,5
302930,,M,44,3
302935,,M,56,3
302958,,M,30,2
302962,,F,31,2
302985,,M,49,4
303019,,M,30,4
303025,,M,30,5
303115,,M,54,4
303124,,M,37,4
303146,,M,41,4
303224,,M,40,2
303230,,M,32,2
303234,,M,22,5
303311,,F,32,1
303339,,M,32,4
303354,,M,47,4
303420,,F,30,2
303430,,M,32,4
303462,,M,41,4
303472,,F,46,3
303540,,M,46,4
303544,,M,24,4
303558,,M,46,4
303583,,M,36,3
303586,,M,20,1
303589,,M,20,1
303633,,M,48,5
303643,,M,36,1
303653,,M,35,2
303681,,M,43,4
303705,,M,15,4
303731,,M,25,2
303746,,M,22,5
303761,,M,56,4
303770,,M,38,5
303797,,M,18,4
303844,,M,59,4
303852,,M,45,5
303875,,M,49,4
303909,,M,41,4
303912,,M,52,3
303921,,M,46,5
303926,,F,37,3
303947,,M,21,4
303960,,M,49,4
303961,,M,52,4
303973,,M,52,4
304004,,M,27,4
304027,,M,39,3
304031,,F,52,4
304086,,F,23,3
304105,,M,40,4
304119,,M,52,4
304249,,M,28,1
304284,,M,52,3
304311,,M,50,5
304312,,M,52,4
304326,,M,56,4
304360,,M,39,2
304367,,M,34,2
304372,,F,38,4
304373,,M,46,4
304397,,M,27,4
304410,,M,43,5
304416,,M,24,5
304421,,M,31,4
304436,,F,35,2
304448,,M,48,5
304464,,M,42,3
304508,,M,37,4
304526,,F,43,3
304549,,M,55,4
304553,,M,54,4
304600,,M,27,3
304638,,M,42,3
304640,,M,18,4
304658,,M,45,3
304686,,M,37,4
304701,,M,21,3
304735,,M,28,1
304743,,M,43,3
304745,,M,56,5
304753,,M,24,4
304756,,M,40,4
304762,,M,45,2
304772,,M,45,5
304797,,M,22,1
304801,,M,59,3
304804,,M,41,3
304805,,M,47,5
304833,,M,20,5
304846,,M,47,2
304850,,M,44,4
304879,,M,31,4
304886,,M,44,5
304897,,M,58,4
304900,,M,51,2
304925,,F,49,3
304936,,M,57,4
304958,,M,21,3
304964,,M,26,2
304986,,M,49,4
305008,,F,29,4
305010,,F,25,3
305029,,M,33,3
305076,,M,55,4
305088,,M,52,4
305096,,F,45,3
305100,,M,58,5
305193,,M,59,2
305202,,M,35,4
305220,,F,28,4
305262,,M,55,5
305290,,M,43,4
305317,,M,47,3
305400,,M,49,3
305459,,M,43,3
305628,,M,55,4
305630,,M,38,4
305647,,M,39,3
305688,,M,42,3
305748,,M,31,4
305797,,M,28,4
305838,,M,26,3
305850,,M,40,4
306011,,M,45,3
306048,,M,39,4
306124,,M,44,4
306272,,M,73,4
306273,,F,19,2
306325,,M,25,1
306356,,M,45,4
306378,,F,42,3
306411,,M,31,2
306438,,M,26,2
306441,,M,48,4
306457,,M,27,4
306524,,F,32,4
306583,,F,33,4
306664,,M,27,1
306712,,M,41,4
306758,,M,44,5
306824,,F,23,2
307115,,M,48,3
307140,,M,44,4
307152,,F,51,3
307192,,M,14,4
307201,,M,12,4
307303,,M,37,4
307426,,M,19,3
307520,,F,34,2
307585,,M,26,5
307653,,M,28,2
307752,,F,19,4
307800,,M,23,5
307805,,M,38,3
307852,,M,55,5
307855,,M,16,4
307880,,M,33,5
307890,,F,37,3
307898,,M,38,4
307900,,M,28,2
307981,,F,34,3
308032,,M,49,4
308071,,F,20,3
308123,,M,28,4
308152,,M,64,5
308238,,M,43,5
308269,,M,54,3
308433,,M,25,4
308541,,M,38,5
308570,,F,28,4
308604,,M,31,4
308611,,M,40,4
308695,,M,21,5
308804,,M,50,3
309043,,M,49,5
309067,,F,31,3
309141,,M,23,1
309260,,M,31,5
309356,,M,28,2
309376,,M,63,5
309418,,M,31,4
309471,,M,16,2
309580,,F,43,3
309589,,M,28,3
309590,,M,23,3
309596,,M,26,2
309615,,M,37,4
309700,,M,41,4
309759,,M,49,4
309907,,M,40,3
309920,,F,29,3
310123,,M,55,5
310207,,M,46,4
310212,,M,21,2
310223,,M,24,2
310254,,M,37,4
310370,,F,50,4
310646,,M,41,3
310722,,M,49,4
310724,,M,42,3
310825,,F,17,2
310846,,M,56,4
310901,,M,21,5
310904,,M,19,5
310942,,M,56,3
310943,,M,44,5
310948,,M,28,3
311336,,M,51,4
311410,,M,58,5
311464,,F,48,2
311495,,M,37,3
311530,,M,26,3
311752,,M,43,4
311800,,F,27,1
311816,,M,19,1
311845,,M,29,2
311882,,M,29,4
311925,,M,15,5
311960,,M,53,5
312668,,F,24,2
312704,,M,35,4
312832,,M,20,3
313146,,M,24,5
313364,,M,16,4
313686,,M,24,2
314158,,M,32,3
314198,,M,40,2
314296,,M,56,3
314976,,M,33,5
315144,,F,46,4
315192,,F,32,3
315424,,M,52,5
315426,,F,40,3
315494,,M,50,5
315558,,M,32,4
315722,,F,23,4
315810,,M,76,5
315856,,M,38,5
315886,,F,43,4
315958,,M,29,3
316000,,M,55,5
316094,,M,31,4
316262,,M,28,4
316350,,M,38,4
316616,,M,57,5
316874,,M,52,3
316938,,M,19,3
317018,,M,54,4
317078,,M,25,4
317172,,F,14,4
317708,,M,55,5
317714,,M,41,5
317766,,F,30,4
317988,,M,35,5
318020,,M,16,5
318118,,M,32,5
318146,,M,44,3
318192,,M,34,5
318276,,M,31,4
318306,,M,15,3
318518,,M,41,5
318536,,M,20,5
318538,,M,21,5
318670,,M,19,5
318758,,M,50,4
318830,,M,41,5
318856,,F,20,4
318892,,M,21,3
318908,,F,30,2
319250,,M,37,5
319284,,M,45,2
319364,,M,54,5
319704,,M,52,2
319784,,M,26,4
319898,,M,50,4
319966,,M,43,3
320236,,F,17,3
320254,,M,22,5
320304,,M,43,4
320490,,M,29,2
320598,,M,21,1
320744,,F,20,3
320750,,M,14,4
321274,,M,37,4
321302,,M,31,1
321408,,M,34,2
321598,,M,35,4
321722,,M,33,4
321852,,M,20,5
321904,,M,38,5
321906,,M,19,5
321964,,M,25,2
322052,,M,48,3
322092,,M,31,4
322286,,M,64,4
322308,,M,21,5
322668,,M,26,5
323018,,M,33,4
323060,,M,23,4
323184,,M,26,3
323634,,M,42,5
323868,,M,42,4
324250,,M,56,3
324504,,M,42,3
324690,,M,23,5
325008,,M,29,3
325046,,M,41,4
325094,,F,28,1
325472,,M,40,5
325510,,F,42,2
325664,,F,31,1
325938,,M,51,4
326254,,M,45,3
326328,,M,22,5
326730,,M,39,4
326874,,M,37,4
326940,,M,43,4
327014,,M,26,3
327086,,M,19,1
327832,,M,32,5
327950,,F,22,4
328078,,M,34,5
328118,,M,28,5
328250,,M,31,5
328268,,M,40,5
328410,,M,27,3
328784,,M,25,2
328902,,M,27,5
329038,,M,34,3
329264,,M,17,3
329442,,M,37,4
329756,,M,43,3
330060,,M,41,3
330124,,M,32,4
330278,,M,51,4
330394,,M,34,3
330536,,F,26,4
330648,,F,18,4
330670,,M,32,3
330800,,M,51,4
330870,,F,44,4
330926,,F,52,3
330976,,M,32,5
331070,,M,72,4
331076,,M,43,4
331080,,M,26,2
331142,,M,18,3
331228,,M,36,3
331304,,M,19,2
331318,,F,31,2
331322,,M,41,2
331334,,M,59,5
331336,,F,37,4
331446,,M,24,5
331532,,M,32,2
331564,,F,46,4
331630,,M,27,3
331662,,M,56,4
331724,,M,32,5
331800,,M,48,3
331830,,M,24,3
331886,,F,24,3
331894,,M,13,4
331900,,M,27,4
331922,,M,52,5
332032,,M,22,3
332060,,F,29,4
332082,,M,46,3
332088,,M,51,4
332120,,M,33,5
332140,,F,55,4
332152,,F,27,2
332154,,M,33,4
332182,,F,40,3
332190,,M,26,1
332208,,M,34,4
332298,,M,25,4
332412,,F,46,3
332434,,M,47,3
332436,,M,50,4
332678,,M,52,4
332694,,M,54,4
332776,,M,63,4
332782,,M,29,2
332784,,M,44,4
332786,,M,33,4
332902,,M,31,3
332906,,M,40,4
332918,,M,42,3
332950,,M,50,4
332982,,M,55,5
332984,,M,29,2
333036,,M,44,4
333042,,M,51,3
333048,,M,38,3
333062,,M,42,3
333090,,F,33,2
333112,,M,47,4
333136,,M,40,3
333158,,M,37,4
333186,,M,50,4
333220,,M,55,4
333224,,M,55,4
333250,,M,41,4
333294,,M,33,2
333358,,M,38,3
333414,,M,41,5
333470,,M,45,3
333472,,M,44,4
333498,,M,65,4
333550,,F,49,4
333552,,M,28,5
333700,,M,41,4
333716,,M,46,3
333856,,F,35,4
333942,,M,27,5
333944,,F,59,4
333978,,M,22,4
334006,,M,45,4
334018,,M,24,4
334020,,M,40,4
334198,,M,37,4
334218,,F,42,2
334246,,M,29,4
334256,,F,33,4
334330,,M,46,4
334374,,M,18,5
334588,,M,38,4
334594,,M,49,4
334602,,M,45,3
334612,,M,46,4
334646,,M,48,4
334690,,M,51,3
334718,,M,37,1
334814,,M,25,4
334970,,M,51,5
335076,,M,19,5
335106,,M,30,5
335168,,M,47,4
335196,,F,25,2
335202,,M,54,4
335218,,M,46,3
335362,,M,18,5
335402,,F,31,2
335420,,M,21,3
335464,,M,42,4
335466,,M,28,3
335498,,M,19,5
335500,,M,53,3
